"Name","TID","InfoTID","SWF","Speed","Hitpoints","UpgradeTimeH","UpgradeResource","UpgradeCost","RequiredTownHallLevel","AttackRange","AttackSpeed","Damage","PreferedTargetDamageMod","DamageRadius","IconSWF","IconExportName","BigPicture","BigPictureSWF","SmallPicture","SmallPictureSWF","Projectile","RageProjectile","PreferedTargetBuilding","DeployEffect","AttackEffect","HitEffect","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","MaxSearchRadiusForDefender","HousingSpace","SpecialAbilityEffect","RegenerationTimeMinutes","TrainingTime","TrainingResource","TrainingCost","CelebrateEffect","SleepOffsetX","SleepOffsetY","PatrolRadius","AbilityTriggerEffect","AbilityAffectsHero","AbilityAffectsCharacter","AbilityRadius","AbilityTime","AbilityOnce","AbilityCooldown","AbilitySpeedBoost","AbilitySpeedBoost2","AbilityDamageBoostPercent","AbilitySummonTroop","AbilitySummonTroopCount","AbilityStealth","AbilityDamageBoostOffset","AbilityHealthIncrease","AbilityTID","AbilityDescTID","AbilityIcon","AbilityBigPictureExportName","AbilityDelay","StrengthWeight","StrengthWeight2","AlertRadius"
"String","String","String","String","int","int","int","String","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","int","String","String","int","int","String","int","int","String","int","String","int","int","int","String","boolean","String","int","int","boolean","int","int","int","int","String","int","boolean","int","int","String","String","String","String","int","int","int","int"
"Barbarian King","TID_BARBARIAN_KING","TID_HERO_INSTRUCTIONS_BARBARIAN","sc/characters.cs",200,1700,12,"DarkElixir",12500,7,100,1200,120,1,,"sc/ui.sc","icon_hero_barbarianKing","unit_barbarianKing_big","sc/info_barbarianking.sc","unit_barbarianKing_small","sc/ui.sc",,,,"Barbarian King Deploy","Barbarian King Attack","Barbarian King Hit","false","false","true",,"Barbarian King Die","BarbarianKing_lvl1",900,25,"Building Ready",30,,"Elixir",,"Barbarian King Scream",70,-40,300,"King Ability Effect","true","Barbarian",2500,0,"true",0,0,0,0,"Barbarian",0,,0,0,"TID_HERO_ABILITY_BARBARIAN_TITLE","TID_HERO_ABILITY_BARBARIAN_DESC","icon_hero_barbarianKing_ability1","unit_barbarianKing_ability_big",0,13,15,1200
,,,,,1742,24,,15000,7,,,122,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,32,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,13,15,
,,,,,1786,36,,17500,7,,,124,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,34,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,13,15,
,,,,,1830,48,,20000,7,,,127,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,36,,,,,,,,,,,,0,,,0,0,0,,0,,0,0,,,,,,13,15,
,,,,,1876,60,,22500,7,,,129,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,38,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,15,16,
,,,,,1923,72,,25000,8,,,132,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,40,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,15,16,
,,,,,1971,84,,30000,8,,,135,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,42,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,15,16,
,,,,,2020,96,,35000,8,,,137,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,44,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,15,16,
,,,,,2071,108,,40000,8,,,140,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl1",,,,46,,,,,,,,,,,,10000,,,18,9,120,,6,,56,500,,,,,,15,16,
,,,,,2123,120,,45000,8,,,143,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,48,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,17,17,
,,,,,2176,132,,50000,9,,,146,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,50,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,17,17,
,,,,,2230,144,,55000,9,,,149,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,52,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,17,17,
,,,,,2286,156,,60000,9,,,152,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,54,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,17,17,
,,,,,2343,168,,65000,9,,,155,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,56,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,17,17,
,,,,,2402,,,70000,9,,,158,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,58,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,19,18,
,,,,,2462,,,75000,9,,,161,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,60,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,19,18,
,,,,,2523,,,80000,9,,,164,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,62,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,19,18,
,,,,,2586,,,85000,9,,,168,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,64,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,19,18,
,,,,,2651,,,90000,9,,,171,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl2",,,,66,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,19,18,
,,,,,2717,,,95000,9,,,174,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,68,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,21,19,
,,,,,2785,,,100000,9,,,178,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,70,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,21,19,
,,,,,2855,,,105000,9,,,181,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,72,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,21,19,
,,,,,2926,,,110000,9,,,185,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,74,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,21,19,
,,,,,2999,,,115000,9,,,189,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,76,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,21,19,
,,,,,3074,,,120000,9,,,193,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,78,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,23,20,
,,,,,3151,,,125000,9,,,196,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,80,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,23,20,
,,,,,3230,,,130000,9,,,200,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,82,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,23,20,
,,,,,3311,,,135000,9,,,204,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,84,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,23,20,
,,,,,3394,,,140000,9,,,208,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,86,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,23,20,
,,,,,3478,,,145000,9,,,213,,,,,,,,,,,,,,,,,,,,"BarbarianKing_lvl3",,,,88,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3565,,,150000,10,,,217,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3655,,,155000,10,,,221,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3746,,,160000,10,,,226,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3840,,,165000,10,,,230,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,25,21,
,,,,,3936,,,170000,10,,,235,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4034,,,175000,10,,,239,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4135,,,180000,10,,,244,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4238,,,185000,10,,,249,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4344,,,190000,10,,,254,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,27,22,
,,,,,4453,,,,10,,,259,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,27,22,
"Archer Queen","TID_ARCHER_QUEEN","TID_HERO_INSTRUCTIONS_QUEEN","sc/characters.cs",300,725,12,"DarkElixir",22500,9,500,750,160,1,,"sc/ui.sc","icon_hero_archerQueen","unit_archerQueen_big","sc/info_archerqueen.sc","unit_archerQueen_small","sc/ui.sc","ArcherQueen arrow lvl1","ArcherQueen arrow rage",,"Archer Queen Deploy","ArcherQueen attack","Archer Queen Hit","false","true","true",,"Archer Queen Die","ArcherQueen_lvl1",1000,25,"Building Ready",30,,"Elixir",,"Archer Queen Scream",70,-50,300,"Queen Ability Effect","true",,2500,0,"true",0,,,,"Archer",0,"true",0,0,"TID_HERO_ABILITY_QUEEN_TITLE","TID_HERO_ABILITY_QUEEN_DESC","icon_hero_archerQueen_ability1","unit_archerQueen_ability1_big",0,20,26,1300
,,,,,740,24,,25000,9,,,164,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,32,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,755,36,,27500,9,,,168,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,34,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,771,48,,30000,9,,,172,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,36,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,20,26,
,,,,,787,60,,32500,9,,,176,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,38,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,804,72,,35000,9,,,181,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,40,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,821,84,,40000,9,,,185,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,42,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,838,96,,45000,9,,,190,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,44,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,856,108,,50000,9,,,194,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl1",,,,46,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,23,27,
,,,,,874,120,,55000,9,,,199,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,48,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,892,132,,60000,9,,,204,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,50,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,911,144,,65000,9,,,209,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,52,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,930,156,,70000,9,,,215,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,54,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,949,168,,75000,9,,,220,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,56,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,26,28,
,,,,,969,,,80000,9,,,226,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,58,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,990,,,85000,9,,,231,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,60,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1010,,,90000,9,,,237,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,62,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1032,,,95000,9,,,243,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,64,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1053,,,100000,9,,,249,,,,,,,,,"ArcherQueen arrow lvl1","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl2",,,,66,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,29,29,
,,,,,1076,,,105000,9,,,255,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,68,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1098,,,110000,9,,,262,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,70,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1121,,,115000,9,,,268,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,72,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1145,,,120000,9,,,275,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,74,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1169,,,125000,9,,,282,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,76,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,32,30,
,,,,,1193,,,130000,9,,,289,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,78,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1218,,,135000,9,,,296,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,80,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1244,,,140000,9,,,304,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,82,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1270,,,145000,9,,,311,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,84,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1297,,,150000,9,,,319,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,86,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,35,31,
,,,,,1324,,,155000,9,,,327,,,,,,,,,"ArcherQueen arrow lvl2","ArcherQueen arrow rage",,,,,,,,,,"ArcherQueen_lvl3",,,,88,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1352,,,160000,10,,,335,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1380,,,165000,10,,,344,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1409,,,170000,10,,,352,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1439,,,175000,10,,,361,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,38,32,
,,,,,1469,,,180000,10,,,370,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1500,,,185000,10,,,379,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1532,,,190000,10,,,389,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1564,,,195000,10,,,398,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1597,,,200000,10,,,408,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,41,33,
,,,,,1630,,,,10,,,419,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,41,33,
